LoanID,CustomerID,LoanAmount,InterestRate,TermMonths,CurrentStatus
LN_0224,CUST_0285,31200,8.09,12,Current
LN_0225,CUST_0360,18700,12.43,24,Current
LN_0226,CUST_0984,56500,15.18,36,Current
LN_0227,CUST_0522,8300,11.32,36,Defaulted
LN_0228,CUST_0909,48900,9.34,24,Current
LN_0229,CUST_0830,44000,6.98,36,Current
LN_0230,CUST_0083,26300,5.35,48,Current
LN_0231,CUST_0669,31800,13.81,48,Late
LN_0232,CUST_0329,6400,5.4,12,Current
LN_0233,CUST_0765,5500,16.97,36,Defaulted
LN_0234,CUST_0125,8000,12.72,36,Current
LN_0235,CUST_0475,39400,9.59,24,Current
LN_0236,CUST_0974,54500,5.54,48,Current
LN_0237,CUST_0603,57400,10.38,60,Current
LN_0238,CUST_0270,19300,16.27,12,Current
LN_0239,CUST_0087,13600,17.61,48,Current
LN_0240,CUST_0658,12200,6.1,24,Current
LN_0241,CUST_0306,56500,15.1,12,Current
LN_0242,CUST_0299,5900,8.36,60,Current
LN_0243,CUST_0028,39800,9.93,12,Late
LN_0244,CUST_0226,15500,12.12,48,Current
LN_0245,CUST_0777,12700,17.93,60,Current
LN_0246,CUST_0418,31200,7.71,24,Current
LN_0247,CUST_0759,39200,6.7,12,Current
LN_0248,CUST_0946,16200,12.73,48,Current
LN_0249,CUST_0067,48700,16.09,24,Current
LN_0250,CUST_0056,45700,13.43,60,Late
LN_0251,CUST_0848,34900,9.52,12,Current
LN_0252,CUST_0748,19000,17.7,36,Current
LN_0253,CUST_0651,25400,17.94,48,Late
LN_0254,CUST_0546,39400,15.02,48,Current
LN_0255,CUST_0630,54500,15.43,36,Current
LN_0256,CUST_0647,8700,14.89,24,Current
LN_0257,CUST_0682,29400,8.35,48,Current
LN_0258,CUST_0496,30400,6.95,24,Current
LN_0259,CUST_0915,57800,12.21,60,Current
LN_0260,CUST_0124,17300,17.4,36,Current
LN_0261,CUST_0668,11500,16.42,24,Late
LN_0262,CUST_0309,56800,6.39,60,Current
LN_0263,CUST_0281,33500,5.74,12,Current
LN_0264,CUST_0188,52200,16.36,48,Current
LN_0265,CUST_0064,9100,12.97,36,Late
LN_0266,CUST_0790,46400,8.96,12,Late
LN_0267,CUST_0397,23700,12.3,12,Current
LN_0268,CUST_0330,37100,7.88,12,Defaulted
LN_0269,CUST_0508,16100,17.31,24,Defaulted
LN_0270,CUST_0088,49100,15.75,48,Current
LN_0271,CUST_0976,43900,17.51,36,Current
LN_0272,CUST_0879,24300,7.43,48,Current
LN_0273,CUST_0052,30700,15.97,48,Current
LN_0274,CUST_0906,57000,12.28,48,Current
LN_0275,CUST_0575,36000,9.22,60,Defaulted
LN_0276,CUST_0743,7500,11.24,60,Current
LN_0277,CUST_0215,28500,17.28,60,Current
LN_0278,CUST_0808,19800,13.99,60,Defaulted
LN_0279,CUST_0336,12800,9.68,48,Current
LN_0280,CUST_0400,29300,18.0,48,Defaulted
LN_0281,CUST_0277,44700,9.49,36,Current
LN_0282,CUST_0102,14000,15.58,36,Current
LN_0283,CUST_0033,21400,15.2,36,Current
LN_0284,CUST_0273,13900,14.4,36,Current
LN_0285,CUST_0375,19700,13.7,36,Current
LN_0286,CUST_0454,20900,6.41,60,Current
LN_0287,CUST_0952,55200,17.93,48,Current
LN_0288,CUST_0361,25500,7.09,36,Defaulted
LN_0289,CUST_0368,33400,12.75,24,Current
LN_0290,CUST_0532,8300,8.24,36,Current
LN_0291,CUST_0114,18100,7.19,36,Late
LN_0292,CUST_0303,41300,12.27,48,Current
LN_0293,CUST_0881,25700,15.87,60,Current
LN_0294,CUST_0936,58500,9.9,12,Current
LN_0295,CUST_0681,59400,6.0,48,Current
LN_0296,CUST_0925,47400,13.11,60,Current
LN_0297,CUST_0679,20200,14.96,24,Current
LN_0298,CUST_0326,22600,8.85,12,Defaulted
LN_0299,CUST_0803,10000,13.98,60,Current
LN_0300,CUST_0046,12500,5.99,60,Late
LN_0301,CUST_0036,6500,9.7,48,Current
LN_0302,CUST_0419,14400,11.16,60,Current
LN_0303,CUST_0381,7400,15.17,36,Defaulted
LN_0304,CUST_0138,49500,9.4,60,Current
LN_0305,CUST_0580,31200,10.9,12,Current
LN_0306,CUST_0502,13700,13.17,60,Current
LN_0307,CUST_0539,36700,13.11,24,Current
LN_0308,CUST_0132,26500,11.73,36,Current
LN_0309,CUST_0657,57700,9.27,12,Late
LN_0310,CUST_0512,25400,13.71,12,Current
LN_0311,CUST_0895,44700,15.88,48,Late
LN_0312,CUST_0353,20400,7.0,48,Current
LN_0313,CUST_0314,26000,9.43,36,Current
LN_0314,CUST_0154,46200,13.69,12,Current
LN_0315,CUST_0239,28100,14.83,24,Current
LN_0316,CUST_0301,35300,15.16,60,Defaulted
LN_0317,CUST_0195,43800,13.49,60,Current
LN_0318,CUST_0177,12000,11.22,60,Current
LN_0319,CUST_0833,57700,13.4,48,Current
LN_0320,CUST_0840,51900,6.76,12,Current
LN_0321,CUST_0949,58700,7.7,12,Current
LN_0322,CUST_0838,36800,17.06,24,Late
LN_0323,CUST_0764,42200,16.99,48,Current
LN_0324,CUST_0863,58000,14.41,24,Current
LN_0325,CUST_0466,37400,9.25,12,Current
LN_0326,CUST_0070,32200,13.43,60,Current
LN_0327,CUST_0610,14200,13.94,48,Current
LN_0328,CUST_0892,54900,11.7,48,Current
LN_0329,CUST_0007,51100,14.73,48,Current
LN_0330,CUST_0357,30100,5.39,60,Current
LN_0331,CUST_0044,10100,8.33,48,Current
LN_0332,CUST_0300,14100,15.33,36,Current
LN_0333,CUST_0369,29700,17.2,48,Late
LN_0334,CUST_0786,52100,16.39,60,Current
LN_0335,CUST_0444,25700,14.31,48,Current
LN_0336,CUST_0206,52600,7.15,36,Defaulted
LN_0337,CUST_0966,45000,9.79,36,Late
LN_0338,CUST_0826,45300,5.65,48,Current
LN_0339,CUST_0024,24400,13.32,12,Current
LN_0340,CUST_0676,36600,10.85,12,Current
LN_0341,CUST_0538,50800,12.45,24,Current
LN_0342,CUST_0005,32700,17.73,36,Current
LN_0343,CUST_0942,36300,10.23,12,Defaulted
LN_0344,CUST_0576,7700,8.99,24,Defaulted
LN_0345,CUST_0155,5600,6.96,12,Defaulted
LN_0346,CUST_0662,20700,6.87,48,Late
LN_0347,CUST_0924,41000,11.74,36,Current
LN_0348,CUST_0535,30800,14.74,12,Current
LN_0349,CUST_0201,22600,12.34,48,Current
LN_0350,CUST_0279,22400,16.35,24,Current
LN_0351,CUST_0338,40300,9.11,48,Current
LN_0352,CUST_0661,25200,12.74,24,Late
LN_0353,CUST_0862,58900,13.6,12,Current
LN_0354,CUST_0631,25400,8.65,60,Current
LN_0355,CUST_0098,53400,10.15,48,Current
LN_0356,CUST_0441,38800,12.68,60,Current
LN_0357,CUST_0655,6600,5.27,36,Current
LN_0358,CUST_0085,36200,16.53,60,Defaulted
LN_0359,CUST_0701,13600,6.44,36,Current
LN_0360,CUST_0524,14600,5.62,12,Late
LN_0361,CUST_0247,23000,7.8,12,Late
LN_0362,CUST_0038,50200,11.53,48,Current
LN_0363,CUST_0894,44200,9.27,60,Current
LN_0364,CUST_0841,36400,10.72,36,Current
LN_0365,CUST_0600,43000,6.1,36,Current
LN_0366,CUST_0755,21600,8.03,60,Current
LN_0367,CUST_0990,18600,6.27,12,Current
LN_0368,CUST_0997,10300,7.99,12,Current
LN_0369,CUST_0806,51300,14.14,36,Current
LN_0370,CUST_0141,33400,12.48,48,Current
LN_0371,CUST_0473,38500,9.34,12,Current
LN_0372,CUST_0327,40900,8.4,24,Late
LN_0373,CUST_0337,28400,17.97,36,Current
LN_0374,CUST_0712,34100,14.98,60,Late
LN_0375,CUST_0184,32600,15.69,60,Current
LN_0376,CUST_0677,19600,5.34,36,Late
LN_0377,CUST_0913,40600,5.77,36,Current
LN_0378,CUST_0168,30200,14.26,12,Current
LN_0379,CUST_0235,27600,7.49,36,Current
LN_0380,CUST_0267,49500,10.53,36,Current
LN_0381,CUST_0787,20300,7.39,24,Late
LN_0382,CUST_0458,33000,7.3,60,Current
LN_0383,CUST_0537,17600,6.42,12,Current
LN_0384,CUST_0664,30100,12.73,48,Current
LN_0385,CUST_0558,30900,14.61,12,Current
LN_0386,CUST_0457,44700,5.74,60,Current
LN_0387,CUST_0928,37600,8.58,48,Defaulted
LN_0388,CUST_0003,38400,13.56,36,Late
LN_0389,CUST_0802,20100,10.1,24,Current
LN_0390,CUST_0573,41400,14.16,24,Current
LN_0391,CUST_0530,43400,14.87,60,Current
LN_0392,CUST_0842,9100,5.42,60,Current
LN_0393,CUST_0128,10300,9.95,24,Defaulted
LN_0394,CUST_0969,13900,14.48,48,Current
LN_0395,CUST_0166,8000,9.92,48,Current
LN_0396,CUST_0317,42200,5.08,12,Current
LN_0397,CUST_0123,9100,9.37,36,Current
LN_0398,CUST_0068,16700,16.34,48,Current
LN_0399,CUST_0699,21000,17.38,36,Late
LN_0400,CUST_0111,38800,12.29,60,Current
